name,meaning,emojiSign,isCommitizen,description
feat,Features,:heavy_plus_sign:,commitizen,when implementing function
fix,Bug Fixes,:sunny:,commitizen,when fixing a bug
docs,Documentation,:pencil2:,commitizen,when writing docs
style,Styles,:shirt:,commitizen,when change coding style
refactor,Code Refactoring,:art:,commitizen,when refactoring
perf,Performances,:rocket:,commitizen,when improving performance
test,Tests,:white_check_mark:,commitizen,when adding tests
build,Builds,:arrow_heading_up:,commitizen,when changes build system
ci,Continuous Integrations,:green_heart:,commitizen,when change the CI build
chore,Chores,:wrench:,commitizen,when change other that don't modify code or test files
revert,Reverts,:arrow_heading_down:,commitizen,when reverts a previous commit
remove,Removes,:heavy_minus_sign:,,when removing function
sec,Securities,:lock:,,when dealing with security
up,Update dependencies,:arrow_up:,,when upgrading dependencies
down,Downgrade dependencies,:arrow_down:,,when downgrading dependencies
tada,Celebrats,:tada:,,when celebrating
